Experiment parameters,,,,,
parameter,value,,,,
title,Super Resolution Color Imaging,,,,
experiment type,Paired Comparison,,,,
delay between stimuli switching,200ms,,,,
Background colour,#808080,,,,
Stimuli spacing,15px,,,,
Same pair twice (flipped),no,,,,
Show original,no,,,,
,,,,,
Image sets,,,,,
set name,file name,,,,
2644,6961,0887_ResShift.png,0887_SwinIR.png,0887_ResShift.png,2
2644,6961,0887_RealESRGAN.png,0887_ResShift.png,0887_RealESRGAN.png,3
2644,6961,0887_BSRGAN.png,0887_RealESRGAN.png,0887_RealESRGAN.png,1
2644,6961,0887_BSRGAN.png,0887_ResShift.png,0887_ResShift.png,4
2644,6961,0825_SwinIR.png,0825_RealESRGAN.png,0825_SwinIR.png,9
2644,6961,0825_BSRGAN.png,0825_SwinIR.png,0825_SwinIR.png,2
2644,6961,0825_SwinIR.png,0825_ResShift.png,0825_SwinIR.png,1
2644,6961,0825_RealESRGAN.png,0825_BSRGAN.png,0825_RealESRGAN.png,2
2644,6961,0825_ResShift.png,0825_BSRGAN.png,0825_ResShift.png,2
2644,6961,0825_ResShift.png,0825_RealESRGAN.png,0825_ResShift.png,1
2644,6961,0819_RealESRGAN.png,0819_BSRGAN.png,0819_RealESRGAN.png,5
2644,6961,0819_ResShift.png,0819_RealESRGAN.png,0819_ResShift.png,8
2644,6961,0819_SwinIR.png,0819_BSRGAN.png,0819_SwinIR.png,2
