observer id,session id,left image,right image,selected image,time spent (in seconds)
2562,6956,0819_BSRGAN.png,0819_ResShift.png,0819_ResShift.png,1
2562,6956,0887_BSRGAN.png,0887_SwinIR.png,0887_SwinIR.png,8
2562,6956,0887_BSRGAN.png,0887_ResShift.png,0887_ResShift.png,3
2562,6956,0887_RealESRGAN.png,0887_ResShift.png,0887_ResShift.png,2
2562,6956,0887_RealESRGAN.png,0887_SwinIR.png,0887_SwinIR.png,4
2562,6956,0887_BSRGAN.png,0887_RealESRGAN.png,0887_RealESRGAN.png,4
2562,6956,0887_ResShift.png,0887_SwinIR.png,0887_ResShift.png,5
2562,6956,0862_RealESRGAN.png,0862_ResShift.png,0862_ResShift.png,3
2562,6956,0862_ResShift.png,0862_SwinIR.png,0862_ResShift.png,3
2562,6956,0862_RealESRGAN.png,0862_BSRGAN.png,0862_RealESRGAN.png,4
2562,6956,0862_BSRGAN.png,0862_ResShift.png,0862_BSRGAN.png,2
2562,6956,0862_SwinIR.png,0862_RealESRGAN.png,0862_SwinIR.png,2
2562,6956,0862_BSRGAN.png,0862_SwinIR.png,0862_BSRGAN.png,2
2562,6958,0887_SwinIR.png,0887_ResShift.png,0887_SwinIR.png,40
2562,6958,0887_SwinIR.png,0887_BSRGAN.png,0887_SwinIR.png,12
2562,6958,0887_RealESRGAN.png,0887_BSRGAN.png,0887_RealESRGAN.png,49
2562,6958,0887_RealESRGAN.png,0887_SwinIR.png,0887_SwinIR.png,38
2562,6958,0887_BSRGAN.png,0887_ResShift.png,0887_ResShift.png,5
2562,6958,0887_RealESRGAN.png,0887_ResShift.png,0887_ResShift.png,3
2562,6958,0819_ResShift.png,0819_RealESRGAN.png,0819_ResShift.png,11
2562,6958,0819_ResShift.png,0819_BSRGAN.png,0819_ResShift.png,2
2562,6958,0819_RealESRGAN.png,0819_SwinIR.png,0819_RealESRGAN.png,6
2562,6958,0819_RealESRGAN.png,0819_BSRGAN.png,0819_RealESRGAN.png,1
2562,6958,0819_SwinIR.png,0819_ResShift.png,0819_ResShift.png,8
2562,6958,0819_SwinIR.png,0819_BSRGAN.png,0819_SwinIR.png,12
2562,6958,0874_ResShift.png,0874_BSRGAN.png,0874_ResShift.png,5
2562,6958,0874_SwinIR.png,0874_ResShift.png,0874_ResShift.png,1
2562,6958,0874_SwinIR.png,0874_BSRGAN.png,0874_SwinIR.png,40
2562,6958,0874_RealESRGAN.png,0874_SwinIR.png,0874_SwinIR.png,15
